,Provinsi,Tahun,IPM,Inflasi,Kemiskinan,PDRBK_ADHB,PDRBK_ADHK,PDRB_ADHB,PDRB_ADHK,Pengangguran,Upah Minimum,PDRB_ADHK_YoY,PDRB_ADHB_YoY,PDRBK_ADHK_YoY,PDRBK_ADHB_YoY,PDRB_ADHK_Pct,PDRB_ADHB_Pct,PDRBK_ADHK_Pct,PDRBK_ADHB_Pct
174,Kalimantan Timur,2019,76.61,2.72,5.94,180259.1,134410.55,652480.26,486523.18,5.94,2747561.0,4.697441714547779,2.672166053909031,5.540736429637683,3.4991452349561802,12.955583391545494,45.31986177905451,7.540400376890901,38.353104086824125
175,Kalimantan Timur,2020,76.24,1.68,6.1,161798.85,125764.53,607744.49,472393.33,6.87,2981379.0,-2.9042501119884934,-6.856264126672585,-6.432545659548294,-10.240953161310584,12.955583391545494,45.31986177905451,7.540400376890901,38.353104086824125
176,Kalimantan Utara,2010,,6.96,,,,,,,,,,,,,,,
177,Kalimantan Utara,2011,,3.79,,,,,,,,,,,,,,,
178,Kalimantan Utara,2012,,4.3,,,,,,,,,,,,,,,
179,Kalimantan Utara,2013,67.99,8.38,,88415.13,74106.93,52604.7,44091.7,,,,,,,,,,
180,Kalimantan Utara,2014,68.64,8.36,,95734.77,77152.6,59184.0,47696.35,,,8.17534819478496,12.507057354190799,4.109831563660804,8.278718812040431,,,,
181,Kalimantan Utara,2015,68.76,3.35,6.32,96150.38,76823.46,61722.39,49315.75,5.68,2026126.0,3.395228356048219,4.288980129764797,-0.42660908381570994,0.4341264934359712,,,,
182,Kalimantan Utara,2016,69.2,3.02,6.99,99112.33,76635.46,66041.81,51064.74,5.23,2175340.0,3.546514044701743,6.998141193171548,-0.24471691329706058,3.080539047271569,,,,
183,Kalimantan Utara,2017,69.84,3.61,6.96,111318.54,78918.57,76927.57,54537.31,5.54,2354800.0,6.800328367480191,16.483133941967985,2.9791822219113806,12.315531276481927,,,,
184,Kalimantan Utara,2018,70.56,3.13,6.86,119413.88,80204.84,85548.94,57459.31,5.11,2559903.0,5.357800008837987,11.207126391747458,1.6298698772671427,7.272229765140659,,,,
185,Kalimantan Utara,2019,71.15,2.72,6.63,138751.01,88299.52,96509.93,61417.79,4.49,2765463.0,6.889188192479168,12.812537478547359,10.092508132925659,16.193368811062836,,,,
186,Kalimantan Utara,2020,70.63,1.68,6.8,143533.29,86823.59,100423.21,60746.21,4.97,3000804.0,-1.09346168268184,4.054795190505289,-1.6715039900556783,3.4466631990642815,,,,
187,Kepulauan Bangka Belitung,2010,72.86,6.96,6.51,28906.78,28906.78,35561.9,35561.9,5.63,910000.0,,,,,48.209010204741595,112.36145987700318,25.602401927852224,79.96954347734338
188,Kepulauan Bangka Belitung,2011,73.37,3.79,5.75,32465.38,30212.18,40849.04,38013.99,3.86,1024000.0,6.8952727497687105,14.867428343255007,4.515895578822682,12.310606715794714,48.209010204741595,112.36145987700318,25.602401927852224,79.96954347734338
189,Kepulauan Bangka Belitung,2012,67.21,4.3,5.53,35288.32,31172.42,45400.23,40104.91,3.43,1110000.0,5.500396038405886,11.14148582194343,3.1783207964469984,8.695231659078061,48.209010204741595,112.36145987700318,25.602401927852224,79.96954347734338
190,Kepulauan Bangka Belitung,2013,67.92,8.38,5.25,38314.56,32081.3,50388.36,42190.86,3.65,1265000.0,5.201233464929844,10.98701482349318,2.9156542867060153,8.57575537741666,48.209010204741595,112.36145987700318,25.602401927852224,79.96954347734338
191,Kepulauan Bangka Belitung,2014,68.27,8.36,4.97,41948.37,32859.64,56373.62,44159.44,5.14,1640000.0,4.665892091320267,11.87825918525629,2.426148566298747,9.484149106762562,48.209010204741595,112.36145987700318,25.602401927852224,79.96954347734338
192,Kepulauan Bangka Belitung,2015,69.05,3.35,4.83,44425.08,33480.38,60987.32,45962.3,6.29,2100000.0,4.082615178091031,8.184147124133577,1.8890651267025493,5.904186503551867,48.209010204741595,112.36145987700318,25.602401927852224,79.96954347734338
193,Kepulauan Bangka Belitung,2016,69.55,3.02,5.04,46402.47,34132.87,65048.23,47848.37,2.6,2341500.0,4.103515272299263,6.658613626570253,1.9488727427825037,4.451066829817751,48.209010204741595,112.36145987700318,25.602401927852224,79.96954347734338
194,Kepulauan Bangka Belitung,2017,69.99,3.61,5.3,48827.25,34933.52,69865.21,49985.15,3.78,2534674.0,4.46573206151013,7.40524377066063,2.3456861377317395,5.225540795565409,48.209010204741595,112.36145987700318,25.602401927852224,79.96954347734338
195,Kepulauan Bangka Belitung,2018,70.67,3.13,4.77,50081.95,35762.04,73113.28,52208.04,3.61,2755444.0,4.447100788934311,4.649052081858751,2.371704884019721,2.5696716485159365,48.209010204741595,112.36145987700318,25.602401927852224,79.96954347734338
196,Kepulauan Bangka Belitung,2019,71.3,2.72,4.62,52232.8,37173.14,75794.96,53941.9,3.58,2976706.0,3.3210593617381656,3.667842558834744,3.9458039865734706,4.294661050538173,48.209010204741595,112.36145987700318,25.602401927852224,79.96954347734338
197,Kepulauan Bangka Belitung,2020,71.47,1.68,4.53,52023.4,36307.61,75519.77,52705.94,5.25,3230024.0,-2.2912800624375507,-0.3630716343144713,-2.3283747350909767,-0.4008975203320553,48.209010204741595,112.36145987700318,25.602401927852224,79.96954347734338
198,Kepulauan Riau,2010,75.07,6.96,8.05,65703.34,65703.34,111223.67,111223.67,6.9,925000.0,,,,,57.303935394327475,128.45438385552285,29.38852119237775,87.912501860636
199,Kepulauan Riau,2011,75.78,3.79,7.4,72571.75,68024.21,126914.2,118961.42,5.38,975000.0,6.956927423811865,14.107185997369086,3.5323470618084496,10.453669478598805,57.303935394327475,128.45438385552285,29.38852119237775,87.912501860636
200,Kepulauan Riau,2012,72.36,4.3,7.11,80240.25,70930.0,144840.79,128034.97,5.08,1015000.0,7.627304717781613,14.124967891693775,4.271699737490509,10.566783906961042,57.303935394327475,128.45438385552285,29.38852119237775,87.912501860636
201,Kepulauan Riau,2013,73.02,8.38,6.35,87710.29,73743.33,163261.57,137263.85,5.63,1365087.0,7.208093226405254,12.717950516563747,3.96634710277739,9.309592131131183,57.303935394327475,128.45438385552285,29.38852119237775,87.912501860636
202,Kepulauan Riau,2014,73.4,8.36,6.4,94335.33,76313.81,180879.98,146325.23,6.69,1665000.0,6.601432205201885,10.791523075516185,3.485711860313323,7.553321280775616,57.303935394327475,128.45438385552285,29.38852119237775,87.912501860636
